Name,Ticker,Sector,Sub-Sector, Market Cap , Close Price ,PE Ratio,Common Shares Outstanding
Cochin Shipyard Ltd,CEATLTD.NS,Consumer Discretionary,Shipbuilding,4298.08,326.75,7.621118576,13.154039
HEG Ltd,NOCIL.NS,Materials,Electrical Components & Equipments,4292.01,1112.05,10.98881982,3.8596656
Nocil Ltd,FDC.NS,Health Care,Commodity Chemicals,4221.17,253.35,23.96892331,16.621913
CEAT Ltd,UFLEX.NS,Materials,Tires & Rubber,4159.28,1028.25,58.4168639,4.0450092
F D C Ltd,HEG.NS,Industrials,Pharmaceuticals,4136.69,245.05,19.11594782,16.8810084
PCBL Ltd,INFIBEAM.NS,Information Technology,Commodity Chemicals,4103.02,108.70,9.631046677,34.467572
Infibeam Avenues Ltd,VIJAYA.NS,Health Care,IT Services & Consulting,4037.66,15.15,46.66741453,266.210716
Hinduja Global Solutions Ltd,GPPL.NS,Industrials,Outsourced services,3957.58,946.90,0.648406427,4.175430123
Aarti Drugs Ltd,NAZARA.NS,Consumer Discretionary,Pharmaceuticals,3938.74,425.35,19.20962251,9.32
Nazara Technologies Ltd,IBREALEST.NS,Real Estate,Theme Parks & Gaming,3927.89,1196.35,138.3060806,3.0452836
Rallis India Ltd,NCC.NS,Industrials,Fertilizers & Agro Chemicals,3926.33,201.90,23.91185682,19.447089
Gujarat Pipavav Port Ltd,WOCKPHARMA.NS,Health Care,Ports,3918.28,81.05,19.85749645,48.343991
Wockhardt Ltd,TCNSBRANDS.NS,Consumer Discretionary,Pharmaceuticals,3869.46,268.60,5.640112686,12.02163838
Indiabulls Real Estate Ltd,HGS.NS,Information Technology,Real Estate,3861.40,71.70,-28.24315899,45.1538712
Vijaya Diagnostic Centre Ltd,AARTIDRUGS.NS,Health Care,Hospitals & Diagnostic Centres,3840.04,376.60,35.01446862,10.19659275
NCC Ltd,RALLIS.NS,Materials,Construction & Engineering,3811.54,62.50,7.901040971,60.9846588
Tata Coffee Ltd,NESCO.NS,Real Estate,Tea & Coffee,3792.37,203.05,25.66923218,18.677037
Ircon International Ltd,TATACOFFEE.NS,Consumer Staple,Construction & Engineering,3752.66,39.90,6.335310468,94.04075807
Nesco Ltd,IRCON.NS,Industrials,Real Estate,3728.39,529.15,19.71023886,7.045996
Karur Vysya Bank Ltd,EQUITAS.NS,Financials,Private Banks,3664.13,45.80,5.442287845,79.9320719
Shilpa Medicare Ltd,SHILPAMED.NS,Health Care,Pharmaceuticals,3570.88,438.00,58.86709747,8.1526899
IFB Industries Ltd,KARURVYSYA.NS,Financials,Auto Parts,3538.73,857.25,-73.47857143,4.3568796
TCNS Clothing Co Ltd,THYROCARE.NS,Health Care,Apparel & Accessories,3533.53,573.35,-616.6719358,6.1522499
Thyrocare Technologies Ltd,IFBIND.NS,Consumer Discretionary,Hospitals & Diagnostic Centres,3528.12,666.90,20.03022148,5.2871371
Dilip Buildcon Ltd,INDOCO.NS,Health Care,Construction & Engineering,3449.94,235.95,12.94148939,13.6769768
Engineers India Ltd,MOIL.NS,Materials,Construction & Engineering,3355.39,59.70,9.785914378,56.2044973
Mahindra Logistics Ltd,DBL.NS,Industrials,Logistics,3330.62,463.00,89.87110224,7.167034
Equitas Holdings Ltd,ENGINERSIN.NS,Industrials,Consumer Finance,3306.82,96.75,21.58639087,34.1789995
Moil Ltd,SUDARSCHEM.NS,Materials,Mining - Manganese,3273.06,160.85,8.682086047,23.7327879
Indoco Remedies Ltd,VAKRANGEE.NS,Information Technology,Pharmaceuticals,3240.93,351.70,20.9362273,9.2150355
Advanced Enzyme Technologies Ltd,HATHWAY.NS,Industrials,Specialty Chemicals,3239.42,289.75,27.09228534,11.1728425
CSB Bank Ltd,MAHLOG.NS,Industrials,Private Banks,3199.55,189.90,6.978441961,17.367957
Hathway Cable and Datacom Ltd,CSBBANK.NS,Financials,Cable & D2H,3195.04,18.05,24.57911087,177.01045
Railtel Corporation of India Ltd,RAILTEL.NS,Information Technology,Communication & Networking,3183.71,99.20,15.23670255,32.0938407
Sudarshan Chemical Industries Ltd,ADVENZYMES.NS,Materials,Diversified Chemicals,3125.61,451.50,24.04685596,6.922725
Dhani Services Ltd,DHANI.NS,Financials,Investment Banking & Brokerage,3078.32,52.65,-13.67776098,61.002401
Tata Steel Long Products Ltd,HEMIPROP.NS,Real Estate,Iron & Steel,2991.48,663.30,4.749365742,4.51
Vakrangee Limited,SPICEJET.NS,Industrials,Outsourced services,2982.23,28.15,27.22749831,105.9406
Hemisphere Properties India Ltd,TATASTLLP.NS,Materials,Real Estate,2958.30,103.80,-199.0780619,28.5
Strides Pharma Science Ltd,SEQUENT.NS,Health Care,Pharmaceuticals,2950.50,328.55,-6.411345118,8.9680964
Spicejet Ltd,ICIL.NS,Consumer Discretionary,Airlines,2900.66,48.20,-2.816502587,60.0936903
Indo Count Industries Ltd,VENKEYS.NS,Consumer Staple,Textiles,2834.66,143.60,7.90854354,19.739967
Venky's (India) Ltd,STAR.NS,Health Care,Packaged Foods & Meats,2773.19,1968.20,16.82967472,1.4087336
SeQuent Scientific Ltd,SOLARA.NS,Health Care,Pharmaceuticals,2706.32,109.05,65.62366555,24.8370995
Solara Active Pharma Sciences Ltd,,,Pharmaceuticals,1560.62,433.55,-26.83780148,3.5929767
